time_s,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8,x,y,z,w,rot_x,rot_y,rot_z
40.59437007,0.18601097,0.92711353,-0.13108124,0.29778871,0.42168560,0.07768610,-0.13176567,0.07768609,0.70573905,0.11813479,-0.13176570,0.11813478,0.58867369,-0.11998290,-0.41030255,-0.84264237,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.86159086,-1.23744011,-7.50452566,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.37339405,-2.67197638,1.56224471,-0.24250859,-0.39001359,-0.05295027,0.88672163
40.59931497,0.18382330,0.92722911,-0.13160357,0.29855594,0.42076757,0.07920780,-0.13304854,0.07920781,0.70397467,0.11431588,-0.13304852,0.11431583,0.58695696,-0.12521147,-0.41929372,-0.84809166,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.88783789,-1.25680888,-7.58331728,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.37017315,-2.67549080,1.55974308,-0.24444586,-0.39085142,-0.05299770,0.88581749
40.60425986,0.18161827,0.92733693,-0.13212994,0.29933718,0.41985439,0.08073799,-0.13433540,0.08073799,0.70227332,0.11048979,-0.13433541,0.11048979,0.58528574,-0.12461095,-0.42611980,-0.85567947,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.91175079,-1.29524016,-7.71226883,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.36697777,-2.67896277,1.55727440,-0.24637930,-0.39168720,-0.05303390,0.88491004
40.60920502,0.17940101,0.92743975,-0.13265690,0.30012152,0.41895114,0.08227527,-0.13562659,0.08227528,0.70060923,0.10666708,-0.13562660,0.10666706,0.58365704,-0.12618144,-0.42876485,-0.85677290,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.95947313,-1.33154070,-7.82448769,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.36376387,-2.68244127,1.55480426,-0.24833002,-0.39253368,-0.05305810,0.88398775
40.62403996,0.17264242,0.92771280,-0.13427345,0.30251315,0.41630634,0.08697666,-0.13952640,0.08697666,0.69585758,0.09513845,-0.13952637,0.09513845,0.57898858,-0.12818000,-0.43718840,-0.87735847,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-6.22440815,-1.32715774,-7.94370270,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.35136407,-2.69574423,1.54539089,-0.25591591,-0.39588603,-0.05310079,0.88031903
40.63887490,0.16576101,0.92796665,-0.13585368,0.30486876,0.41377917,0.09171119,-0.14349991,0.09171116,0.69126773,0.08359003,-0.14349994,0.08359002,0.57464893,-0.14516717,-0.43104908,-0.88443256,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-6.50349855,-1.24895573,-8.07953644,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.34193895,-2.70573916,1.53835574,-0.26176325,-0.39854587,-0.05317435,0.87739026
40.64382005,0.16346428,0.92804831,-0.13635314,0.30563635,0.41296510,0.09326259,-0.14483469,0.09326260,0.68979515,0.07977546,-0.14483473,0.07977544,0.57329455,-0.14628237,-0.42422603,-0.88008894,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-6.61803102,-1.20720124,-8.03406334,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.34036592,-2.70739751,1.53719143,-0.26274420,-0.39899520,-0.05319346,0.87689154
40.64876495,0.16117318,0.92812741,-0.13684273,0.30639321,0.41217053,0.09480254,-0.14616710,0.09480253,0.68835561,0.07598843,-0.14616715,0.07598843,0.57198494,-0.14737974,-0.41950557,-0.87737412,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-6.73494911,-1.16547167,-7.95993662,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.33704404,-2.71089019,1.53474181,-0.26481864,-0.39994541,-0.05324108,0.87583112
40.65370985,0.15889031,0.92820507,-0.13731076,0.30713996,0.41139140,0.09631822,-0.14749894,0.09631820,0.68695375,0.07224195,-0.14749894,0.07224195,0.57072836,-0.15696707,-0.41434770,-0.87143254,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-6.84712172,-1.11414313,-7.90013361,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.33371784,-2.71437432,1.53230135,-0.26689785,-0.40089368,-0.05329894,0.87476226
40.65865500,0.15662472,0.92828435,-0.13774963,0.30786666,0.41062900,0.09779551,-0.14882971,0.09779549,0.68557980,0.06854146,-0.14882974,0.06854147,0.56952798,-0.16289776,-0.40179083,-0.86384060,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-6.92824841,-1.04817152,-7.84749460,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.33044088,-2.71779339,1.52990907,-0.26894577,-0.40181737,-0.05336594,0.87370650
40.66359989,0.15437697,0.92836273,-0.13816138,0.30858040,0.40988142,0.09923610,-0.15015685,0.09923610,0.68425114,0.06489318,-0.15015685,0.06489319,0.56838069,-0.16986704,-0.39397907,-0.85355767,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-7.00221682,-0.98212463,-7.75904751,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.32700096,-2.72136742,1.52741058,-0.27109229,-0.40276762,-0.05344695,0.87259993
